Recreation Centers,Denker Recreation Center,http://www.laparks.org/dos/reccenter/facility/denkerRC.htm,34.02355276,-118.3045149
Outdoor Fitness Equipment,6th & Gladys Street Park,http://www.laparks.org/dos/parks/facility/6thgladysPk.htm,34.04032,-118.242479
Outdoor Fitness Equipment,Westside Neighborhood Park,http://www.laparks.org/dos/parks/facility/westsideNeighborhoodPk.htm,34.029093,-118.36998
Parks,Lake View Terrace Park,http://www.laparks.org/dos/reccenter/facility/lakeviewTerraceRC.htm,34.27465645,-118.3715831
Parks,Sepulveda Basin Wildlife Reserve,http://www.laparks.org/dos/horticulture/sepulvedabasin.htm,34.178515,-118.474043
Recreation Centers,Ralph C. Daniels Field Sports Center,http://www.laparks.org/dos/reccenter/facility/danFharSC.htm,33.73320205,-118.2955729
Recreation Centers,Tarzana Recreation Center,http://www.laparks.org/dos/reccenter/facility/tarzanaRC.htm,34.17462734,-118.5502669
Parks,Viking Park,http://www.laparks.org/dos/parks/facility/vikingPk.htm,34.27995,-118.545154
Parks,Valley Plaza Park,http://www.laparks.org/dos/parks/facility/valleyPlazaPk.htm,34.192008,-118.400894
Parks,Triangle Park (Marr Park),http://www.laparks.org/dos/parks/facility/trianglePk.htm,33.987518,-118.456343
Parks,Sullivan Canyon Park,http://www.laparks.org/dos/parks/facility/sullivanCynPk.htm,34.073715,-118.509023
Tennis Courts,Branford Tennis Courts,http://www.laparks.org/dos/reccenter/facility/branfordRC.htm,34.23304056,-118.4239358
Universally Accessible Playgrounds,Westchester Recreation Center,http://www.laparks.org/dos/reccenter/facility/westchesterRC.htm,33.95956137,-118.4138213
Parks,Roscoe-Valley Circle Park,http://www.laparks.org/dos/parks/facility/RoscoeValleyCirclePk.htm,34.219649,-118.648127
Universally Accessible Playgrounds,Barry A. Sanders Sports Field,http://www.laparks.org/dos/parks/facility/lakeBalboaPk.htm,34.186672,-118.50107
Skate Parks,Lake Street Skate Park,http://www.laparks.org/dos/parks/skateparks/lakeStSkatePk.htm,34.06874703,-118.270384
Recreation Centers,Sunland Recreation Center,http://www.laparks.org/dos/reccenter/facility/sunlandRC.htm,34.25987785,-118.32201
Outdoor Fitness Equipment,Seily Rodriguez Park,http://www.laparks.org/dos/parks/facility/seilyRodriguezPk.htm,34.092917,-118.313975
Parks,Victory - Vineland Park,http://www.laparks.org/dos/parks/facility/victoryVinelandPk.htm,34.186926,-118.3727
Parks,Castle Peak Park,http://www.laparks.org/dos/parks/facility/castlePeakPk.htm,34.20777332,-118.6528355
Parks,Pan Pacific Park,http://www.laparks.org/dos/parks/facility/panPacificPk.htm,34.07487935,-118.3549473
Dog Parks,Runyon Canyon Dog Park,http://laparks.org/dos/parks/facility/dogparks/runyonCynDogPk.htm,34.10530646,-118.3488732
Parks,76th Street Pocket Park,,33.971023,-118.288267
Parks,El Sereno Arroyo Playground,,34.07980496,-118.1618492
Recreation Centers,Montecito Heights Recreation Center,http://www.laparks.org/dos/reccenter/facility/montecitoHeightsRC.htm,34.095544,-118.20335
Outdoor Fitness Equipment,Evergreen Recreation Center,http://www.laparks.org/dos/reccenter/facility/evergreenRC.htm,34.038954,-118.203476
Parks,Evergreen Park,http://www.laparks.org/dos/reccenter/facility/evergreenRC.htm,34.03913003,-118.2045264
Skate Parks,Stoner Skate Park,http://www.laparks.org/dos/parks/skateparks/stonerSkatePk.htm,34.03844736,-118.4532902

Parks,Rivas Canyon Park,http://www.laparks.org/dos/parks/facility/rivasCynPk.htm,34.051771,-118.516387
Parks,Verdugo Mountain Park,http://www.laparks.org/dos/parks/facility/verdugoMtnPk.htm,34.220172,-118.348827
